origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode
Westlake Park,47.61094901,-122.3370206,Space Needle,47.62047587,-122.3492266,driving
Westlake Park,47.61094901,-122.3370206,Space Needle,47.62047587,-122.3492266,walking
Westlake Park,47.61094901,-122.3370206,Space Needle,47.62047587,-122.3492266,bicycling
Westlake Park,47.61094901,-122.3370206,Space Needle,47.62047587,-122.3492266,transit
Westlake Park,47.61094901,-122.3370206,Chihuly Garden and Glass,47.62054706,-122.3504608,driving
Westlake Park,47.61094901,-122.3370206,Chihuly Garden and Glass,47.62054706,-122.3504608,walking
Westlake Park,47.61094901,-122.3370206,Chihuly Garden and Glass,47.62054706,-122.3504608,bicycling
Westlake Park,47.61094901,-122.3370206,Chihuly Garden and Glass,47.62054706,-122.3504608,transit
Westlake Park,47.61094901,-122.3370206,Seattle Aquarium,47.60738161,-122.3429637,driving
Westlake Park,47.61094901,-122.3370206,Seattle Aquarium,47.60738161,-122.3429637,walking
Westlake Park,47.61094901,-122.3370206,Seattle Aquarium,47.60738161,-122.3429637,bicycling
Westlake Park,47.61094901,-122.3370206,Seattle Aquarium,47.60738161,-122.3429637,transit
Westlake Park,47.61094901,-122.3370206,Olympic Sculpture Park,47.61659856,-122.3553107,driving
Westlake Park,47.61094901,-122.3370206,Olympic Sculpture Park,47.61659856,-122.3553107,walking
Westlake Park,47.61094901,-122.3370206,Olympic Sculpture Park,47.61659856,-122.3553107,bicycling
Westlake Park,47.61094901,-122.3370206,Olympic Sculpture Park,47.61659856,-122.3553107,transit
Westlake Park,47.61094901,-122.3370206,Museum of Pop Culture,47.62147013,-122.3481283,driving
Westlake Park,47.61094901,-122.3370206,Museum of Pop Culture,47.62147013,-122.3481283,walking
Westlake Park,47.61094901,-122.3370206,Museum of Pop Culture,47.62147013,-122.3481283,bicycling
Westlake Park,47.61094901,-122.3370206,Museum of Pop Culture,47.62147013,-122.3481283,transit
Westlake Park,47.61094901,-122.3370206,Discovery Park,47.66122637,-122.4172053,driving
Westlake Park,47.61094901,-122.3370206,Discovery Park,47.66122637,-122.4172053,walking
Westlake Park,47.61094901,-122.3370206,Discovery Park,47.66122637,-122.4172053,bicycling
Westlake Park,47.61094901,-122.3370206,Discovery Park,47.66122637,-122.4172053,transit
Westlake Park,47.61094901,-122.3370206,Pike Place Market,47.60939849,-122.3418399,driving
Westlake Park,47.61094901,-122.3370206,Pike Place Market,47.60939849,-122.3418399,walking
Westlake Park,47.61094901,-122.3370206,Pike Place Market,47.60939849,-122.3418399,bicycling
Westlake Park,47.61094901,-122.3370206,Pike Place Market,47.60939849,-122.3418399,transit
